,hdf5_file_name,kspace_shape,nslices,nslice_cumulative
0,file_brain_AXFLAIR_200_6002425.h5,"[12, 20, 640, 320]",12,12
1,file_brain_AXFLAIR_200_6002428.h5,"[10, 20, 640, 320]",10,22
2,file_brain_AXFLAIR_200_6002429.h5,"[12, 20, 640, 320]",12,34
3,file_brain_AXFLAIR_200_6002435.h5,"[12, 16, 640, 320]",12,46
4,file_brain_AXFLAIR_200_6002442.h5,"[12, 16, 640, 320]",12,58
5,file_brain_AXFLAIR_200_6002452.h5,"[12, 20, 640, 320]",12,70
6,file_brain_AXFLAIR_200_6002456.h5,"[12, 16, 640, 320]",12,82
7,file_brain_AXFLAIR_200_6002458.h5,"[12, 16, 640, 320]",12,94
8,file_brain_AXFLAIR_200_6002460.h5,"[12, 16, 640, 320]",12,106
9,file_brain_AXFLAIR_200_6002466.h5,"[12, 20, 640, 320]",12,118
10,file_brain_AXFLAIR_200_6002467.h5,"[12, 20, 640, 320]",12,130
11,file_brain_AXFLAIR_200_6002469.h5,"[12, 16, 640, 320]",12,142
12,file_brain_AXFLAIR_200_6002474.h5,"[12, 16, 640, 320]",12,154
13,file_brain_AXFLAIR_200_6002481.h5,"[12, 20, 640, 320]",12,166
14,file_brain_AXFLAIR_200_6002487.h5,"[12, 20, 640, 320]",12,178
15,file_brain_AXFLAIR_200_6002488.h5,"[12, 16, 640, 320]",12,190
16,file_brain_AXFLAIR_200_6002492.h5,"[12, 16, 640, 320]",12,202
17,file_brain_AXFLAIR_200_6002493.h5,"[12, 16, 640, 320]",12,214
18,file_brain_AXFLAIR_200_6002496.h5,"[12, 16, 640, 320]",12,226
19,file_brain_AXFLAIR_200_6002501.h5,"[12, 20, 640, 320]",12,238
20,file_brain_AXFLAIR_200_6002503.h5,"[12, 20, 640, 320]",12,250
21,file_brain_AXFLAIR_200_6002506.h5,"[12, 16, 640, 320]",12,262
22,file_brain_AXFLAIR_200_6002507.h5,"[12, 16, 640, 320]",12,274
23,file_brain_AXFLAIR_200_6002510.h5,"[12, 16, 640, 320]",12,286
24,file_brain_AXFLAIR_200_6002512.h5,"[12, 16, 640, 320]",12,298
25,file_brain_AXFLAIR_200_6002516.h5,"[12, 16, 640, 320]",12,310
26,file_brain_AXFLAIR_200_6002520.h5,"[12, 16, 640, 320]",12,322
27,file_brain_AXFLAIR_200_6002522.h5,"[12, 16, 640, 320]",12,334
28,file_brain_AXFLAIR_200_6002525.h5,"[12, 16, 640, 320]",12,346
29,file_brain_AXFLAIR_200_6002533.h5,"[12, 22, 640, 320]",12,358
30,file_brain_AXFLAIR_200_6002538.h5,"[12, 16, 640, 320]",12,370
31,file_brain_AXFLAIR_200_6002541.h5,"[12, 16, 640, 320]",12,382
32,file_brain_AXFLAIR_200_6002543.h5,"[12, 16, 640, 320]",12,394
33,file_brain_AXFLAIR_200_6002548.h5,"[12, 20, 640, 320]",12,406
34,file_brain_AXFLAIR_200_6002549.h5,"[12, 20, 640, 320]",12,418
35,file_brain_AXFLAIR_200_6002553.h5,"[12, 16, 640, 320]",12,430
36,file_brain_AXFLAIR_200_6002558.h5,"[12, 20, 640, 320]",12,442
